job_id,job_title,company_name,company_rating,location,experience_min_yrs,experience_max_yrs,salary_min_lpa,salary_max_lpa,salary_disclosed,skills_required,work_mode,company_size_bucket,salary_tier,experience_tier,is_senior,primary_city,skill_domain,salary_midpoint_lpa,days_since_posted,is_fresher_friendly,salary_for_analysis
6456,Data Analyst,Indium Software,3.9,Bengaluru,1,5,0.0,0.0,False,"Basic, tableau, Analytical, Data processing, power bi, Data Analyst, data visualization, Stakeholder management",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,Business Intelligence,0.0,21,True,
6457,Data Analyst,TVS Motor,3.8,Bengaluru,2,3,0.0,0.0,False,"python, data analysis, mathematics, bi, strong analytical skills, power bi, business analysis, problem solving",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,Business Intelligence,0.0,21,False,
6458,Data Analyst - AI & ML,Kuku Fm,3.8,Bengaluru,1,3,0.0,0.0,False,"Computer science, Logistic regression, Data analysis, Automation, Analytical, IOS app, Workflow, Data quality",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,Business Intelligence,0.0,21,True,
6459,Data Analyst,Maruti Suzuki,4.1,Bengaluru,3,8,0.0,0.0,False,"Data analysis, Technical writing, Analytical, Cognos, Data mining, cisco, Analytics, Monitoring",On-site,Small/Startup (<100),Undisclosed,Mid (3-5 Yrs),False,Bangalore,Business Intelligence,0.0,21,False,
6460,Data Analyst,Kiya.ai,3.9,"Hybrid - Bengaluru, Mumbai (All Areas)",3,7,5.0,11.0,True,"Power Bi, Data Analysis, Tableau, SQL, Capital Market, Investment Banking, Risk Assessment, Risk",Hybrid,Small/Startup (<100),Junior (3-6 LPA),Mid (3-5 Yrs),False,Bangalore,Business Intelligence,8.0,5,False,8.0
6461,Staff Data Analyst,Enphase Energy,2.6,Bengaluru,8,12,0.0,0.0,False,"Automation, Data management, Analytical, Process improvement, Data structures, Information technology, Monitoring, SQL",On-site,Small/Startup (<100),Undisclosed,Senior (6-8 Yrs),False,Bangalore,Business Intelligence,0.0,21,False,
6462,Data Analyst,Bima Kavach,4.3,Bengaluru,1,3,0.0,0.0,False,"database maintenance, python, data analysis, data analytics, predictive analytics, problem solving, machine learning, dashboards",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,AI/ML/DL,0.0,6,True,
6463,Data Analyst,LKQ India,3.3,Bengaluru,3,6,0.0,0.0,False,"Power Bi, Advanced Excel, Financial Analytics, Stock Valuation, Data Analytics, Data Wrangling, Data Cleansing, Tableau",On-site,Small/Startup (<100),Undisclosed,Mid (3-5 Yrs),False,Bangalore,Business Intelligence,0.0,7,False,
6464,Data Analyst,Financial Service,3.6,Hybrid - Bengaluru,5,10,0.0,0.0,False,"O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",Hybrid,Small/Startup (<100),Undisclosed,Mid (3-5 Yrs),False,Bangalore,Business Intelligence,0.0,7,False,
6465,Data Analyst,Kawen Manpower,3.6,Bengaluru,1,4,0.0,0.0,False,"Procurement, Data analysis, VLOOKUP, Analytical, Business intelligence, Macros, Operations, Internship",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,Business Intelligence,0.0,4,True,
6466,Data Analyst,The Briminc,3.6,Bengaluru,1,3,0.0,0.0,False,"Computer science, Automation, Data analysis, Analytical, Machine learning, Workflow, Analytics, SQL",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,AI/ML/DL,0.0,6,True,
6467,Data Analyst Mechanical/Instrumentation,Idexcel,3.6,"Bengaluru, Vadodara",4,7,0.0,0.0,False,"Drawings, CMMS, plant maintenance, P&IDs, ERP, data management, Datasheets, Vendor Documents",On-site,Small/Startup (<100),Undisclosed,Mid (3-5 Yrs),False,Bangalore,Business Intelligence,0.0,5,False,
6468,Data Analyst,Deloitte Consulting,3.6,"Hyderabad, Bengaluru",0,0,18.0,33.0,True,"GenAI, Artificial Intelligence, Data Analytics, Machine Learning, Python, Intelligence, Data analysis, Analytics",On-site,Large (1000+),Senior (10-20 LPA),Fresher,False,Hyderabad,AI/ML/DL,25.5,7,True,25.5
6469,Data Analyst,Cava Athleisure,2.0,Bengaluru,2,7,0.0,0.0,False,"Customer acquisition, Automation, SMS, Data quality, Rate analysis, Forecasting, Marketing strategy, Analytics",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,Business Intelligence,0.0,7,False,
6470,Data Analyst,Simply Vyapar Apps,3.7,Bengaluru,2,4,0.0,0.0,False,"database maintenance, python, data analysis, sas, bi, power bi, problem solving, business intelligence",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,Business Intelligence,0.0,7,False,
6471,Data Analyst,Stack Digital,3.6,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",4,9,0.0,0.0,False,"Data analysis, Agile scrum, Data Analyst, FMCG, microsoft, consumer goods, Data warehousing, Analytics",On-site,Small/Startup (<100),Undisclosed,Mid (3-5 Yrs),False,Hubli,Business Intelligence,0.0,7,False,
6472,Data Analysts,PRODAT,3.1,Bengaluru,1,3,0.0,0.0,False,"hlookup, macros, python, data analysis, data management, data analytics, data validation, data mining",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,Business Intelligence,0.0,21,True,
6473,Data Analyst,Corporate Web Solutions,3.6,Bengaluru,4,8,10.0,18.0,True,Not Available,On-site,Small/Startup (<100),Senior (10-20 LPA),Mid (3-5 Yrs),False,Bangalore,Business Intelligence,14.0,30,False,14.0
6474,Data Analyst,ExcelR,3.6,Bengaluru,1,4,0.0,0.0,False,"excel, data extraction, data management, data analytics, data mining, predictive analytics, data visualization, Predictive",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,Business Intelligence,0.0,21,True,
6475,Data Analyst,The Art Of Living Human Resources,3.6,Bengaluru,2,4,0.0,0.0,False,"database maintenance, python, data analysis, data analytics, oracle, spotfire, problem solving, dashboards",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,Business Intelligence,0.0,21,False,
6476,Data Analyst,Mudra Ooh,3.6,Bengaluru,2,7,0.0,0.0,False,"database maintenance, macros, data analysis, data analytics, data mining, business analysis, power bi, dashboards",On-site,Small/Startup (<100),Undisclosed,Junior (0-2 Yrs),False,Bangalore,Business Intelligence,0.0,21,False,
6477,Data Analyst,tuv Rheinland,4.1,Bengaluru(Electronics City Phase 1),4,8,0.0,0.0,False,"Communication Skills, Power Bi, Master Data Management, Data Visualization, Data Analytics, Data Modeling, Tableau, Dashboards",On-site,Small/Startup (<100),Undisclosed,Mid (3-5 Yrs),False,Bangalore,Business Intelligence,0.0,21,False,
6478,Data Analyst,Black Box,2.9,Bengaluru,4,8,5.0,10.0,True,"Data Analysis, Data Analytics, Data Reporting, Analytics, Analysis, Data, Reporting",On-site,Small/Startup (<100),Junior (3-6 LPA),Mid (3-5 Yrs),False,Bangalore,Business Intelligence,7.5,21,False,7.5
6479,"Data Analyst ( APLD , LAAD)",PRI Global,3.6,Hybrid - Bengaluru,5,9,9.0,13.0,True,"APLD, LAAD, SQL, Life Sciences, Patient Level Data, Clinical, Data Analyst, Medical",Hybrid,Small/Startup (<100),Mid (6-10 LPA),Mid (3-5 Yrs),False,Bangalore,Business Intelligence,11.0,7,False,11.0
6480,Data Anonymization Analyst,Innova Solutions,3.3,Hybrid - Bengaluru,4,9,0.0,0.0,False,"python, SAS, Clinical Data, sql, Adam, Cdisc, SAS Programming, sdtm",Hybrid,Small/Startup (<100),Undisclosed,Mid (3-5 Yrs),False,Bangalore,Business Intelligence,0.0,4,False,
